csarp,,,,sfsarp,,
,Scenario ScSp,,,,Scenario ScSp,
Name,Sol Value,Status,,Name,Sol Value,Status
sarp-10-10-A-1,50.759,Optimal,,sfsarp-10-10-1,60.1896,Optimal
sarp-10-10-A-2,39.129,Optimal,,sfsarp-10-10-2,59.834,Optimal
sarp-10-10-B-1,59.546,Optimal,,sfsarp-10-10-3,59.8322,Optimal
sarp-10-10-B-2,62.585,Optimal,,sfsarp-10-10-4,59.9901,Optimal
sarp-10-10-C-1,101.801,Optimal,,sfsarp-10-10-5,59.7253,Optimal
sarp-10-10-C-2,123.392,Optimal,,sfsarp-10-15-1,59.9114,Optimal
sarp-10-15-A-1,25.797,Optimal,,sfsarp-10-15-2,59.9783,Optimal
sarp-10-15-A-2,36.476,Optimal,,sfsarp-10-15-3,59.8745,Optimal
sarp-10-15-B-1,52.981,Optimal,,sfsarp-10-15-4,59.84,Optimal
sarp-10-15-B-2,46.945,Optimal,,sfsarp-10-15-5,59.8089,Optimal
sarp-10-15-C-1,181.896,Optimal,,sfsarp-10-20-1,59.814,Optimal
sarp-10-15-C-2,187.961,Optimal,,sfsarp-10-20-2,59.9195,Optimal
sarp-10-20-A-1,35.232,Optimal,,sfsarp-10-20-3,59.9223,Optimal
sarp-10-20-A-2,48.892,Optimal,,sfsarp-10-20-4,59.9662,Optimal
sarp-10-20-B-1,61.079,Optimal,,sfsarp-10-20-5,59.8949,Optimal
sarp-10-20-B-2,60.691,Optimal,,sfsarp-10-30-1,59.9988,Optimal
sarp-10-20-C-1,169.763,Optimal,,sfsarp-10-30-2,59.9111,Optimal
sarp-10-20-C-2,172.217,Optimal,,sfsarp-10-30-3,59.9529,Optimal
sarp-10-30-A-1,26.643,Optimal,,sfsarp-10-30-4,59.8719,Optimal
sarp-10-30-A-2,48.444,Optimal,,sfsarp-10-30-5,59.9702,Optimal
sarp-10-30-B-1,60.417,Optimal,,sfsarp-15-10-1,76.1048,Optimal
sarp-10-30-B-2,47.862,Optimal,,sfsarp-15-10-2,76.1344,Optimal
sarp-10-30-C-1,189.6,Optimal,,sfsarp-15-10-3,75.9426,Optimal
sarp-10-30-C-2,164.304,Optimal,,sfsarp-15-10-4,76.0511,Optimal
sarp-15-10-A-1,50.761,Optimal,,sfsarp-15-10-5,76.1953,Optimal
sarp-15-10-A-2,72.226,Optimal,,sfsarp-15-15-1,89.5585,Optimal
sarp-15-10-B-1,77.257,Optimal,,sfsarp-15-15-2,89.5815,Optimal
sarp-15-10-B-2,66.579,Optimal,,sfsarp-15-15-3,89.9001,Optimal
sarp-15-10-C-1,181.915,Optimal,,sfsarp-15-15-4,90.0115,Optimal
sarp-15-10-C-2,234.44,Optimal,,sfsarp-15-15-5,89.6919,Optimal
sarp-15-15-A-1,40.946,Optimal,,sfsarp-15-20-1,90.1176,Optimal
sarp-15-15-A-2,73.998,Optimal,,sfsarp-15-20-2,89.6856,Optimal
sarp-15-15-B-1,65.906,Optimal,,sfsarp-15-20-3,89.7049,Optimal
sarp-15-15-B-2,85.77,Optimal,,sfsarp-15-20-4,89.7435,Optimal
sarp-15-15-C-1,274.984,Optimal,,sfsarp-15-20-5,89.8332,Optimal
sarp-15-15-C-2,214.594,Optimal,,sfsarp-15-30-1,90.2792,Optimal
sarp-15-20-A-1,62.608,Optimal,,sfsarp-15-30-2,90.0965,Optimal
sarp-15-20-A-2,56.871,Optimal,,sfsarp-15-30-3,89.9139,Optimal
sarp-15-20-B-1,84.055,Optimal,,sfsarp-15-30-4,89.9972,Optimal
sarp-15-20-B-2,90.938,Optimal,,sfsarp-15-30-5,90.1457,Optimal
sarp-15-20-C-1,246.167,Optimal,,sfsarp-20-10-1,92.3798,Optimal
sarp-15-20-C-2,221.27,Optimal,,sfsarp-20-10-2,92.2232,Optimal
sarp-15-30-A-1,78.972,Optimal,,sfsarp-20-10-3,92.2237,Optimal
sarp-15-30-A-2,52.361,Optimal,,sfsarp-20-10-4,92.1371,Optimal
sarp-15-30-B-1,87.503,Optimal,,sfsarp-20-10-5,92.2139,Optimal
sarp-15-30-B-2,92.781,Optimal,,sfsarp-20-15-1,106.103,Optimal
sarp-15-30-C-1,260.272,Optimal,,sfsarp-20-15-2,106.131,Optimal
sarp-15-30-C-2,213.286,Optimal,,sfsarp-20-15-3,106.06,Optimal
sarp-20-10-A-1,68.167,Optimal,,sfsarp-20-15-4,106.471,Optimal
sarp-20-10-A-2,58.888,Optimal,,sfsarp-20-15-5,106.039,Optimal
sarp-20-10-B-1,86.858,Optimal,,sfsarp-20-20-1,119.776,Optimal
sarp-20-10-B-2,78.54,Optimal,,sfsarp-20-20-2,119.567,Optimal
sarp-20-10-C-1,254.196,Optimal,,sfsarp-20-20-3,119.897,Optimal
sarp-20-10-C-2,213.401,Optimal,,sfsarp-20-20-4,120.105,Optimal
sarp-20-15-A-1,55.056,Optimal,,sfsarp-20-20-5,119.51,Optimal
sarp-20-15-A-2,67.013,Optimal,,sfsarp-20-30-1,120.147,Optimal
sarp-20-15-B-1,107.057,Optimal,,sfsarp-20-30-2,118.452,Feasible
sarp-20-15-B-2,104.427,Optimal,,sfsarp-20-30-3,119.701,Optimal
sarp-20-15-C-1,286.989,Optimal,,sfsarp-20-30-4,119.996,Optimal
sarp-20-15-C-2,248.346,Optimal,,sfsarp-20-30-5,119.956,Optimal
sarp-20-20-A-1,78.988,Optimal,,sfsarp-30-10-1,124.746,Optimal
sarp-20-20-A-2,80.608,Optimal,,sfsarp-30-10-2,124.815,Optimal
sarp-20-20-B-1,107.222,Optimal,,sfsarp-30-10-3,124.889,Optimal
sarp-20-20-B-2,112.293,Optimal,,sfsarp-30-10-4,124.421,Optimal
sarp-20-20-C-1,340.256,Optimal,,sfsarp-30-10-5,124.991,Optimal
sarp-20-20-C-2,304.754,Optimal,,sfsarp-30-15-1,138.6,Optimal
sarp-20-30-A-1,88.826,Optimal,,sfsarp-30-15-2,138.453,Optimal
sarp-20-30-A-2,83.3,Optimal,,sfsarp-30-15-3,138.201,Feasible
sarp-20-30-B-1,112.792,Optimal,,sfsarp-30-15-4,138.45,Optimal
sarp-20-30-B-2,95.235,Optimal,,sfsarp-30-15-5,138.684,Optimal
sarp-20-30-C-1,375.051,Optimal,,sfsarp-30-20-1,,Unknown
sarp-20-30-C-2,360.415,Optimal,,sfsarp-30-20-2,,Unknown
sarp-30-10-A-1,70.492,Optimal,,sfsarp-30-20-3,152.553,Optimal
sarp-30-10-A-2,81.307,Optimal,,sfsarp-30-20-4,148.829,Feasible
sarp-30-10-B-1,104.547,Optimal,,sfsarp-30-20-5,152.133,Optimal
sarp-30-10-B-2,109.906,Optimal,,sfsarp-30-30-1,179.937,Optimal
sarp-30-10-C-1,338.645,Optimal,,sfsarp-30-30-2,,Unknown
sarp-30-10-C-2,333.722,Optimal,,sfsarp-30-30-3,,Unknown
sarp-30-15-A-1,91.095,Optimal,,sfsarp-30-30-4,,Unknown
sarp-30-15-A-2,90.965,Optimal,,sfsarp-30-30-5,179.752,Optimal
sarp-30-15-B-1,121.466,Optimal,,sfsarp-5-15-1,29.9341,Optimal
sarp-30-15-B-2,124.928,Optimal,,sfsarp-5-15-2,29.7874,Optimal
sarp-30-15-C-1,394.392,Optimal,,sfsarp-5-15-3,29.9539,Optimal
sarp-30-15-C-2,390.513,Optimal,,sfsarp-5-15-4,29.9393,Optimal
sarp-30-20-A-1,107.344,Optimal,,sfsarp-5-15-5,29.9219,Optimal
sarp-30-20-A-2,97.696,Optimal,,sfsarp-5-20-1,30.0672,Optimal
sarp-30-20-B-1,121.208,Optimal,,sfsarp-5-20-2,30.1287,Optimal
sarp-30-20-B-2,116.518,Optimal,,sfsarp-5-20-3,29.7957,Optimal
sarp-30-20-C-1,387.992,Optimal,,sfsarp-5-20-4,29.9398,Optimal
sarp-30-20-C-2,434.673,Optimal,,sfsarp-5-20-5,29.9768,Optimal
sarp-30-30-A-1,117.187,Optimal,,sfsarp-5-30-1,29.9183,Optimal
sarp-30-30-A-2,133.021,Optimal,,sfsarp-5-30-2,30.0074,Optimal
sarp-30-30-B-1,162.924,Optimal,,sfsarp-5-30-3,29.891,Optimal
sarp-30-30-B-2,111.119,Optimal,,sfsarp-5-30-4,30.2566,Optimal
sarp-30-30-C-1,497.806,Optimal,,sfsarp-5-30-5,30.0283,Optimal
sarp-30-30-C-2,,Unknown,,,,
sarp-5-15-A-1,22.986,Optimal,,,,
sarp-5-15-A-2,13.885,Optimal,,,,
sarp-5-15-B-1,28.505,Optimal,,,,
sarp-5-15-B-2,23.684,Optimal,,,,
sarp-5-15-C-1,88.268,Optimal,,,,
sarp-5-15-C-2,62.846,Optimal,,,,
sarp-5-20-A-1,12.184,Optimal,,,,
sarp-5-20-A-2,25.498,Optimal,,,,
sarp-5-20-B-1,22.052,Optimal,,,,
sarp-5-20-B-2,33.83,Optimal,,,,
sarp-5-20-C-1,90.837,Optimal,,,,
sarp-5-20-C-2,86.3,Optimal,,,,
sarp-5-30-A-1,21.313,Optimal,,,,
sarp-5-30-A-2,17.444,Optimal,,,,
sarp-5-30-B-1,22.062,Optimal,,,,
sarp-5-30-B-2,29.181,Optimal,,,,
sarp-5-30-C-1,83.36,Optimal,,,,
sarp-5-30-C-2,116.455,Optimal,,,,
